"NAZEV";"CU_HNO3";"PB_HNO3";"ZN_HNO3"
"Hlavni misto Praha";3,33932197794406;3,62167070442048;1,58923520511658
"Hlavni misto Praha";1,77495235091167;2,17475172148416;2,40694510831829
"Hlavni misto Praha";2,3887627892351;2,61006979274201;2,51769647261099
"Hlavni misto Praha";2,11625551480255;2,69462718077007;2,53369681395743
"Hlavni misto Praha";2,30258509299405;2,43361335540045;2,59525470695687
"Hlavni misto Praha";2,15176220325946;2,58021682959232;2,61006979274201
"Hlavni misto Praha";1,90210752639692;2,4595888418037;2,63905732961526
"Hlavni misto Praha";1,68639895357023;2,92316158071916;2,65324196460721
"Hlavni misto Praha";2,64617479738412;2,77881927199042;2,65324196460721
"Hlavni misto Praha";2,2082744135228;2,31253542384721;2,68102152871429
"Hlavni misto Praha";2,17475172148416;2,78501124223833;2,69462718077007
"Hlavni misto Praha";2,2082744135228;2,59525470695687;2,70805020110221
"Hlavni misto Praha";2,02287119019144;2,89591193827178;2,70938264633599
"Hlavni misto Praha";1,94591014905531;2,68102152871429;2,71469474382088
"Hlavni misto Praha";2,37024374146785;2,83321334405622;2,71469474382088
"Hlavni misto Praha";1,93152141160321;2,68102152871429;2,72785282839839
"Hlavni misto Praha";2,4932054526027;2,85070650150373;2,73436750941958
"Hlavni misto Praha";2,2512917986065;2,45100509811232;2,74727091425549
"Hlavni misto Praha";2,05412373369555;2,72785282839839;2,75366071235426
"Hlavni misto Praha";2,29253475714054;2,67414864942653;2,76000994003292
"Hlavni misto Praha";2,05412373369555;2,46809953147162;2,76631910922619
"Hlavni misto Praha";2,09186406167839;2,73436750941958;2,78501124223833
"Hlavni misto Praha";2,39789527279837;2,92316158071916;2,79728133483015
"Hlavni misto Praha";2,07191327525904;3,09104245335832;2,83673654206353
"Hlavni misto Praha";2,24070968927596;3,03013370027132;2,8449093838194
"Hlavni misto Praha";2,45100509811232;2,51769647261099;2,8449093838194
"Hlavni misto Praha";2,11625551480255;2,8154087194227;2,86220088092947
"Hlavni misto Praha";2,68784749378468;2,74727091425549;2,86220088092947
"Hlavni misto Praha";1,93152141160321;2,65324196460721;2,87919845729804
"Hlavni misto Praha";2,14006616349627;2,85070650150373;2,89037175789616
"Hlavni misto Praha";2,15176220325946;2,8094026953625;2,89591193827178
"Hlavni misto Praha";2,62466859216316;2,69462718077007;2,90142159408274
"Hlavni misto Praha";2,14006616349627;2,8154087194227;2,91235066461493
"Hlavni misto Praha";2,33214389523559;2,98061863574394;2,91235066461493
"Hlavni misto Praha";2,33214389523559;2,98061863574394;2,91235066461493
"Hlavni misto Praha";1,90210752639692;2,54944517092557;2,91777073208428
"Hlavni misto Praha";2,15176220325946;2,87356463957978;2,93916192206559
"Hlavni misto Praha";2,61739583283407;3,31054301339402;2,93916192206559
"Hlavni misto Praha";2,51769647261099;2,4932054526027;2,94968833505258
"Hlavni misto Praha";2,36085400111802;2,61006979274201;2,95491027903373
"Hlavni misto Praha";2,2512917986065;3,0633909220278;2,9704144655697
"Hlavni misto Praha";2,46809953147162;2,85070650150373;2,9704144655697
"Hlavni misto Praha";2,61739583283407;2,55722731136763;2,98061863574394
"Hlavni misto Praha";2,06686275947298;2,75366071235426;3,00071981506503
"Hlavni misto Praha";1,93152141160321;2,66722820658195;3,01062088604774
"Hlavni misto Praha";2,18605127673809;2,56494935746154;3,01553490085017
"Hlavni misto Praha";2,83907846350861;2,8094026953625;3,02042488614436
"Hlavni misto Praha";2,3887627892351;2,9338568698359;3,03013370027132
"Hlavni misto Praha";2,35137525716348;2,8848007128467;3,07269331469012
"Hlavni misto Praha";2,68102152871429;2,58776403522771;3,08648663682245
"Hlavni misto Praha";2,484906649788;3,0633909220278;3,09557760852371
"Hlavni misto Praha";2,484906649788;3,0633909220278;3,09557760852371
"Hlavni misto Praha";2,4932054526027;2,78501124223833;3,10009228887823
"Hlavni misto Praha";2,60268968544438;2,60268968544438;3,10458667846607
"Hlavni misto Praha";2,92852352386054;3,03013370027132;3,10458667846607
"Hlavni misto Praha";2,29253475714054;2,91235066461493;3,10906095886099
"Hlavni misto Praha";2,72785282839839;2,98568193770049;3,10906095886099
"Hlavni misto Praha";2,82731362192902;3,02529107579554;3,11351530921037
"Hlavni misto Praha";2,66722820658195;2,63905732961526;3,11794990627824
"Hlavni misto Praha";2,15176220325946;2,95491027903373;3,13549421592915
"Hlavni misto Praha";2,71469474382088;3,01553490085017;3,13983261752775
"Hlavni misto Praha";2,69462718077007;3,16547504814108;3,16547504814108
"Hlavni misto Praha";2,69462718077007;3,16547504814108;3,16547504814108
"Hlavni misto Praha";2,8154087194227;3,25424296870549;3,16547504814108
"Hlavni misto Praha";3,00071981506503;2,74727091425549;3,17387845893746
"Hlavni misto Praha";2,64617479738412;2,66722820658195;3,17805383034795
"Hlavni misto Praha";2,66722820658195;3,75419892023458;3,17805383034795
"Hlavni misto Praha";2,70805020110221;2,70805020110221;3,17805383034795
"Hlavni misto Praha";2,34180580614733;2,94968833505258;3,18221184049661
"Hlavni misto Praha";2,35422832614587;3,25424296870549;3,1888289035159
"Hlavni misto Praha";2,69462718077007;4,2570301444992;3,1904763503465
"Hlavni misto Praha";2,79116510781272;3,01553490085017;3,1904763503465
"Hlavni misto Praha";2,5014359517392;2,79116510781272;3,23474917402449
"Hlavni misto Praha";2,4932054526027;2,59525470695687;3,25037449192757
"Hlavni misto Praha";2,96527306606928;3,5234150143864;3,25424296870549
"Hlavni misto Praha";2,96527306606928;3,5234150143864;3,25424296870549
"Hlavni misto Praha";3,07731226054641;3,1904763503465;3,26193531432865
"Hlavni misto Praha";2,74727091425549;3,17387845893746;3,26956893918372
"Hlavni misto Praha";2,74727091425549;3,17387845893746;3,26956893918372
"Hlavni misto Praha";2,86789890204411;2,97552956623647;3,26956893918372
"Hlavni misto Praha";2,98568193770049;2,79116510781272;3,26956893918372
"Hlavni misto Praha";2,2512917986065;3,13983261752775;3,28091121578765
"Hlavni misto Praha";3,17387845893746;3,48124008933569;3,28091121578765
"Hlavni misto Praha";2,9338568698359;2,92852352386054;3,2846635654062
"Hlavni misto Praha";3,02529107579554;2,91235066461493;3,29212628660779
"Hlavni misto Praha";3,02529107579554;2,91235066461493;3,29212628660779
"Hlavni misto Praha";2,66025953726586;2,93916192206559;3,29953372788566
"Hlavni misto Praha";2,92316158071916;2,90142159408274;3,30321697330195
"Hlavni misto Praha";2,79116510781272;2,79116510781272;3,31054301339402
"Hlavni misto Praha";3,05400118167796;3,35340671782581;3,3178157727231
"Hlavni misto Praha";2,59525470695687;2,99573227355399;3,32143241319329
"Hlavni misto Praha";2,45100509811232;3,24259235148552;3,32862668882732
"Hlavni misto Praha";2,76631910922619;2,16332302566054;3,33932197794406
"Hlavni misto Praha";2,87356463957978;3,09557760852371;3,34286180464919
"Hlavni misto Praha";2,89037175789616;2,99573227355399;3,35689712276557
"Hlavni misto Praha";2,55722731136763;3,00071981506503;3,3603753871419
"Hlavni misto Praha";2,43361335540045;2,94443897916644;3,36384159511838
"Hlavni misto Praha";2,97552956623647;2,98061863574394;3,36729582998647
"Hlavni misto Praha";2,98061863574394;3,51452606696916;3,36729582998647
"Hlavni misto Praha";2,85070650150373;2,70136121295141;3,37073817417745
"Hlavni misto Praha";3,0633909220278;3,02529107579554;3,37073817417745
"Hlavni misto Praha";3,07269331469012;3,33932197794406;3,37758751602302
"Hlavni misto Praha";2,54160199346454;3,12236492448735;3,38777436133001
"Hlavni misto Praha";2,92852352386054;3,19867311755068;3,40119738166216
"Hlavni misto Praha";2,76631910922619;3,51154543883102;3,41114771251532
"Hlavni misto Praha";3,25424296870549;3,24649099190117;3,41114771251532
"Hlavni misto Praha";2,99573227355399;3,13549421592915;3,41772668361337
"Hlavni misto Praha";2,40694510831829;3,35340671782581;3,42100000895834
"Hlavni misto Praha";2,86789890204411;2,8154087194227;3,42426265459315
"Hlavni misto Praha";2,78501124223833;3,11351530921037;3,42751468997953
"Hlavni misto Praha";2,484906649788;3,21486780347066;3,43398720448515
"Hlavni misto Praha";3,10906095886099;3,11351530921037;3,43398720448515
"Hlavni misto Praha";2,4595888418037;3,39114704580865;3,43720781918519
"Hlavni misto Praha";2,70805020110221;3,15700042115011;3,43720781918519
"Hlavni misto Praha";2,85070650150373;3,09557760852371;3,44041809481543
"Hlavni misto Praha";2,99573227355399;2,76631910922619;3,44361809754611
"Hlavni misto Praha";3,05870707271538;3,45315712059287;3,44361809754611
"Hlavni misto Praha";2,91235066461493;3,22684399451737;3,4468078929142
"Hlavni misto Praha";3,00071981506503;3,16547504814108;3,4468078929142
"Hlavni misto Praha";2,68102152871429;2,76631910922619;3,45315712059287
"Hlavni misto Praha";2,92852352386054;2,62466859216316;3,45631668088323
"Hlavni misto Praha";3,13549421592915;3,4307561839037;3,46573590279973
"Hlavni misto Praha";2,66025953726586;2,76000994003292;3,47196645255036
"Hlavni misto Praha";2,90690105984738;3,28091121578765;3,47196645255036
"Hlavni misto Praha";3,25809653802148;3,50855589998265;3,4904285153901
"Hlavni misto Praha";3,16968558067743;2,98568193770049;3,49347265777132
"Hlavni misto Praha";3,15273602236365;3,44041809481543;3,49650756146648
"Hlavni misto Praha";2,63188884013665;3,04927304048202;3,51452606696916
"Hlavni misto Praha";3,09104245335832;3,72569342723665;3,52046080248897
"Hlavni misto Praha";3,35340671782581;3,1267605359604;3,54095932403731
"Hlavni misto Praha";2,96010509591084;2,82137888640921;3,57515068878559
"Hlavni misto Praha";2,90690105984738;2,70805020110221;3,58629286533884
"Hlavni misto Praha";3,05400118167796;3,38099467434463;3,59731226058845
"Hlavni misto Praha";2,98568193770049;4,06902675423781;3,62167070442048
"Hlavni misto Praha";3,79548918917219;3,02042488614436;3,62700405039585
"Hlavni misto Praha";3,1267605359604;3,35340671782581;3,62966009445396
"Hlavni misto Praha";3,32503602069659;3,01553490085017;3,62966009445396
"Hlavni misto Praha";2,96010509591084;3,30321697330195;3,63495111208838
"Hlavni misto Praha";3,45315712059287;3,56671182013973;3,65065824129374
"Hlavni misto Praha";3,01553490085017;3,72569342723665;3,65325227647079
"Hlavni misto Praha";2,54317555791198;3,41147769106971;3,6988297849671
"Hlavni misto Praha";3,25424296870549;3,44998754583159;3,70130197411249
"Hlavni misto Praha";2,87919845729804;2,5014359517392;3,70376806660769
"Hlavni misto Praha";3,21486780347066;3,26956893918372;3,70622809244855
"Hlavni misto Praha";3,4307561839037;3,89385903480047;3,70868208141011
"Hlavni misto Praha";2,96010509591084;3,14845336057165;3,74242022104197
"Hlavni misto Praha";3,38099467434463;3,22286784613774;3,74950407593037
"Hlavni misto Praha";3,18221184049661;3,3603753871419;3,77734810210154
"Hlavni misto Praha";3,69635146895263;3,45946628978613;3,79773385902602
"Hlavni misto Praha";3,44041809481543;2,68102152871429;3,80220813942094
"Hlavni misto Praha";3,62966009445396;3,25424296870549;3,80443779474821
"Hlavni misto Praha";3,69137633431252;3,72810016726722;3,8155121050473
